"","start_station_name","member_casual","num_of_rides"
"478","Kedzie Ave & Bryn Mawr Ave","casual",479
"479","Green St & Randolph St*","casual",471
"480","Bissell St & Armitage Ave*","casual",470
"481","Eberhart Ave & 61st St","casual",470
"482","DuSable Museum","casual",469
"483","Hermitage Ave & Polk St","casual",468
"484","Cottage Grove Ave & 43rd St","casual",448
"485","2112 W Peterson Ave","casual",440
"486","Leavitt St & Archer Ave","casual",440
"487","Western Ave & Howard St","casual",440
"488","Elmwood Ave & Austin St","casual",435
"489","Central Park Ave & Ogden Ave","casual",433
"490","Jeffery Blvd & 67th St","casual",426
"491","Ridge Blvd & Touhy Ave","casual",421
"492","St. Louis Ave & Balmoral Ave","casual",418
"493","Wood St & 35th St","casual",410
"494","Clark St & Touhy Ave","casual",403
"495","Maplewood Ave & Peterson Ave","casual",403
"496","Kedzie Ave & Chicago Ave","casual",388
"497","State St & 29th St","casual",380
"498","Milwaukee Ave & Cuyler Ave","casual",373
"499","Knox Ave & Montrose Ave","casual",368
"500","Milwaukee Ave & Fullerton Ave","casual",368
"501","Normal Ave & Archer Ave","casual",366
"502","Dodge Ave & Church St","casual",360
"503","Pulaski Rd & Eddy St (Temp)","casual",357
"504","Bosworth Ave & Howard St","casual",353
"505","Ridge Blvd & Howard St","casual",346
"506","Fairfield Ave & Roosevelt Rd","casual",343
"507","Western Ave & 24th St","casual",343
"508","Calumet Park","casual",340
"509","Long & Irving Park","casual",338
"510","Stony Island Ave & 64th St","casual",335
"511","Princeton Ave & 47th St","casual",332
"512","Clark St & Jarvis Ave","casual",331
"513","Stony Island Ave & 71st St","casual",329
"514","Oakley Ave & Touhy Ave","casual",327
"515","Damen Ave & Coulter St","casual",326
"516","Halsted St & 37th St","casual",319
"517","State St & 79th St","casual",316
"518","Wentworth Ave & 63rd St","casual",314
"519","South Shore Dr & 74th St","casual",313
"520","Narragansett & Wrightwood","casual",312
"521","Cornell Dr & Hayes Dr","casual",311
"522","N Southport Ave & W Newport Ave","casual",310
"523","Halsted St & 47th Pl","casual",306
"524","Kildare Ave & Montrose Ave","casual",305
"525","Indiana Ave & 40th St","casual",296
"526","Wabash Ave & 87th St","casual",296
"527","Stony Island Ave & 67th St","casual",294
"528","Kedzie Ave & Roosevelt Rd","casual",293
"529","Wolcott Ave & Fargo Ave","casual",286
"530","Western Blvd & 48th Pl","casual",284
"531","Dodge Ave & Mulford St","casual",281
"532","MLK Jr Dr & 63rd St","casual",281
"533","Walden Pkwy & 100th St","casual",278
"534","Western Ave & 111th St","casual",277
"535","Millard Ave & 26th St","casual",275
"536","Archer (Damen) Ave & 37th St","casual",274
